DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
42:30.1,32.90809289,-80.10047679,32.254,35.511,1018.982,225.828297,2.856675,332.970216,-16.513784,20.942421,84.59951,0.136982,0.237451,0.832712,-0.056729,-0.025501,0.258137,go_up
42:30.3,32.90809289,-80.10047679,32.041,35.777,1018.985,226.277805,2.498387,335.178946,-15.584929,21.783484,84.742081,0.184986,0.075023,1.338627,-1.057021,0.119884,0.915734,go_up
42:30.5,32.90809289,-80.10047679,32.166,36.328,1018.984,226.822403,4.469638,336.008083,-13.927948,22.117924,84.914742,0.118071,-0.032083,0.947006,0.004663,0.251221,0.010431,go_up
42:30.6,32.90809289,-80.10047679,32.112,35.92,1019.001,223.709995,2.790687,338.647669,-13.478338,22.194004,84.40448,0.112737,0.152231,0.684788,-0.078415,0.014205,-0.545151,go_up
42:30.8,32.90809289,-80.10047679,32.077,35.584,1019.002,216.733722,359.672998,339.909444,-13.224171,21.758114,84.283348,0.172379,0.244007,1.039611,0.099653,0.061241,-0.451994,go_up
42:30.9,32.90809205,-80.10046626,32.112,35.939,1019.001,213.354882,359.123441,341.758122,-13.278016,20.97901,84.969223,0.284147,0.084006,1.071535,0.305514,-0.213342,-0.375025,go_up
42:31.1,32.90809205,-80.10046626,32.024,34.936,1019.007,210.879936,354.347363,345.063539,-13.549863,20.32831,85.122856,0.241476,0.104644,0.589015,0.257256,-0.051463,-0.342954,go_up
42:31.3,32.90809205,-80.10046626,32.148,35.986,1019.011,208.44272,351.443942,349.726464,-13.031516,20.038034,85.198883,0.193472,0.2156,0.80225,0.308569,-0.029167,0.236757,go_up
42:31.4,32.90807881,-80.10045755,31.97,35.743,1019.021,209.679284,353.079982,352.311393,-11.701003,20.671923,85.090332,0.219656,0.109257,1.429769,-0.987993,0.2894,0.95544,go_up
42:31.6,32.90807881,-80.10045755,32.077,35.79,1019.02,211.888523,355.634882,350.419721,-11.20165,20.982613,85.167076,0.138194,0.084006,0.86951,-0.315736,0.193799,0.20713,go_up
42:31.8,32.90807881,-80.10045755,32.024,34.976,1019.023,210.013035,354.771839,350.979114,-11.069624,21.108229,85.368927,0.110313,0.294507,0.688687,-0.073136,-0.126227,-0.070127,go_up
